material,tool_material,coolant,tool_diameter_mm,num_flutes,cutting_speed_m_min,feed_per_tooth_mm,axial_depth_mm,radial_depth_mm,rpm,table_feed_mm_min,mrr_cm3_min,torque_Nm,tool_life_min,machining_time_min,VB_mm
FC250,cermet,dry,6,3,128.7,0.179,6.02,16.92,6825.0,3667.0,373.32,10446.54,12.3,12.2,0.3278
A5052,cbn,water_soluble,16,4,455.9,0.056,3.79,6.66,9069.0,2024.0,51.04,716.55,12.1,1.3,0.0418
SUS304,cbn,mql,10,4,140.2,0.095,1.32,2.03,4464.0,1699.0,4.53,404.18,14.7,14.7,0.3111
S45C,hss,water_soluble,25,2,91.6,0.105,9.39,13.39,1166.0,244.0,30.65,8365.79,19.5,6.5,0.1116
FC250,cermet,dry,16,4,81.7,0.17,0.7,1.81,1626.0,1103.0,1.4,164.13,155.2,53.5,0.1131
A5052,cbn,oil,12,2,178.0,0.249,2.87,2.0,4723.0,2350.0,13.45,362.7,89.3,6.4,0.0314
SKD11,carbide,mql,10,2,109.5,0.055,0.74,1.32,3486.0,385.0,0.38,51.77,9.7,6.9,0.1899
A5052,cermet,water_soluble,20,3,345.3,0.482,1.21,0.81,5495.0,7944.0,7.72,178.85,8.2,5.8,0.1959
S45C,hss,mql,6,2,180.2,0.164,4.79,13.49,9558.0,3127.0,202.11,6730.92,5.3,5.1,0.2777
FC250,carbide,mql,16,4,198.7,0.221,9.52,4.5,3954.0,3496.0,149.65,7228.76,5.1,1.4,0.0734
S45C,cermet,mql,12,2,136.3,0.241,4.43,8.85,3615.0,1746.0,68.47,6028.32,11.5,13.6,0.4721
SUS304,cermet,oil,6,6,122.9,0.084,2.15,1.91,6518.0,3270.0,13.4,818.05,15.1,14.7,0.29
SKD11,hss,mql,10,4,113.0,0.029,0.99,1.36,3598.0,424.0,0.57,75.4,5.5,2.3,0.1358
SKD11,cermet,dry,20,4,65.9,0.073,2.94,2.0,1049.0,308.0,1.81,824.25,74.3,65.4,0.2193
A5052,carbide,mql,10,3,332.7,0.081,3.13,9.0,10589.0,2560.0,72.09,866.82,10.9,6.6,0.1717
FC250,hss,oil,12,4,96.2,0.219,4.26,2.13,2552.0,2235.0,20.33,1520.82,19.4,20.6,0.4086
S45C,carbide,water_soluble,20,2,140.2,0.126,7.44,15.8,2232.0,561.0,65.98,9409.82,12.9,9.3,0.1725
S45C,cbn,mql,10,3,133.6,0.106,1.16,2.96,4251.0,1354.0,4.63,346.95,56.6,3.9,0.0328
A5052,carbide,water_soluble,16,2,348.6,0.408,11.16,18.5,6935.0,5663.0,1168.88,21460.5,4.6,2.2,0.1297
S45C,cermet,water_soluble,16,3,111.1,0.13,4.45,12.16,2210.0,860.0,46.52,6701.71,41.5,16.5,0.1018
A5052,cbn,water_soluble,16,6,315.1,0.091,9.57,16.03,6268.0,3428.0,526.12,10686.71,18.9,20.4,0.3528
SKD11,carbide,dry,25,4,41.0,0.096,1.09,2.23,521.0,201.0,0.49,445.18,511.2,89.4,0.0581
SUS304,cbn,water_soluble,16,2,76.9,0.064,1.46,1.69,1529.0,195.0,0.48,125.16,401.0,128.5,0.1003
A5052,cbn,mql,12,2,210.1,0.283,3.6,3.42,5574.0,3156.0,38.9,888.49,46.6,1.8,0.0178
S45C,carbide,water_soluble,16,4,129.9,0.116,3.66,6.34,2584.0,1204.0,27.97,3445.44,24.6,24.0,0.313
SKD11,carbide,dry,25,3,119.7,0.114,1.0,2.71,1524.0,520.0,1.41,443.0,4.6,1.6,0.0892
SKD11,carbide,oil,6,6,107.3,0.085,2.09,1.88,5694.0,2904.0,11.4,956.33,7.6,6.5,0.2459
SKD11,cbn,water_soluble,8,6,57.3,0.122,2.34,5.02,2280.0,1664.0,19.58,4100.31,392.0,40.1,0.0479
SKD11,hss,mql,10,3,86.9,0.114,1.23,0.97,2766.0,949.0,1.13,194.81,6.8,5.6,0.2042
FC250,cbn,oil,6,6,103.8,0.246,9.14,10.46,5509.0,8126.0,777.0,26938.57,64.0,65.2,0.2866
FC250,cbn,oil,8,6,120.7,0.066,5.12,2.12,4803.0,1891.0,20.51,815.64,93.0,54.7,0.1623
SKD11,carbide,mql,25,3,107.2,0.119,0.61,1.42,1364.0,489.0,0.42,148.3,9.0,4.3,0.1327
A5052,hss,mql,20,4,192.0,0.19,12.13,25.91,3056.0,2327.0,731.82,30495.2,6.7,3.3,0.1447
A5052,cermet,mql,6,2,481.0,0.191,12.95,4.38,25519.0,9739.0,552.91,2758.74,5.2,4.6,0.206
A5052,cbn,oil,25,6,257.5,0.437,14.41,6.92,3279.0,8594.0,857.39,33296.48,12.6,12.5,0.3149
S45C,hss,mql,16,6,202.5,0.178,6.24,8.9,4028.0,4296.0,238.62,18856.87,5.3,4.8,0.2073
FC250,hss,mql,12,4,164.7,0.281,1.85,2.04,4368.0,4902.0,18.45,806.59,5.1,2.6,0.1327
A5052,cbn,oil,6,3,371.0,0.172,4.11,11.64,19681.0,10141.0,484.74,3135.92,11.1,5.8,0.1298
FC250,carbide,water_soluble,8,3,197.1,0.142,3.89,4.35,7842.0,3347.0,56.65,1379.7,5.9,6.3,0.3823
SKD11,carbide,oil,6,6,35.7,0.072,1.53,2.34,1893.0,813.0,2.91,733.41,503.0,140.9,0.0851
A5052,carbide,dry,25,3,448.6,0.353,2.49,2.43,5712.0,6051.0,36.66,817.06,5.4,4.6,0.2329
S45C,cbn,water_soluble,6,2,154.0,0.28,3.78,1.09,8170.0,4578.0,18.9,736.41,18.8,3.3,0.0635
SUS304,cbn,water_soluble,6,2,62.0,0.041,3.7,10.35,3291.0,273.0,10.47,1265.9,461.9,154.2,0.0956
A5052,cbn,dry,20,6,398.9,0.156,11.37,27.58,6348.0,5924.0,1856.63,37239.56,4.7,4.5,0.245
S45C,carbide,dry,8,2,216.4,0.135,4.72,9.73,8611.0,2330.0,106.99,3955.08,5.4,5.7,0.3131
SUS304,hss,oil,20,3,53.8,0.167,1.81,3.27,856.0,430.0,2.54,1180.19,190.2,202.4,0.3561
SUS304,cbn,water_soluble,10,6,120.6,0.089,0.33,0.7,3840.0,2045.0,0.48,49.44,60.6,25.2,0.1312
S45C,hss,water_soluble,6,4,103.3,0.184,2.26,3.18,5480.0,4042.0,29.05,1687.34,16.4,7.8,0.1309
A5052,cermet,oil,8,4,322.5,0.199,2.05,5.88,12833.0,10193.0,122.84,1218.78,12.5,5.4,0.1298
A5052,cermet,mql,12,2,193.3,0.082,13.69,6.11,5129.0,838.0,70.1,1740.35,39.9,4.7,0.0556
A5052,carbide,water_soluble,12,2,198.7,0.248,7.5,5.17,5269.0,2614.0,101.4,2450.04,26.9,16.7,0.1435
A5052,cbn,mql,12,3,219.7,0.178,4.69,5.62,5828.0,3110.0,81.93,1789.87,43.5,9.2,0.0753
SUS304,hss,water_soluble,6,3,94.7,0.171,3.38,4.46,5025.0,2579.0,38.85,3076.11,8.5,4.7,0.165
SKD11,carbide,mql,6,4,115.6,0.047,0.93,2.72,6131.0,1160.0,2.94,228.77,8.0,8.3,0.3024
SKD11,carbide,oil,20,2,98.7,0.034,2.95,3.68,1571.0,107.0,1.16,353.86,15.8,12.3,0.1856
SUS304,carbide,water_soluble,10,4,103.1,0.157,4.18,8.89,3282.0,2058.0,76.52,9276.76,19.6,13.7,0.1952
SUS304,cbn,oil,8,4,109.6,0.168,2.1,1.27,4363.0,2940.0,7.8,711.13,32.8,12.5,0.1161
S45C,cermet,mql,8,3,209.1,0.228,2.34,3.57,8319.0,5694.0,47.41,1814.18,4.9,3.5,0.1861
S45C,cbn,dry,16,6,84.3,0.223,3.5,1.06,1677.0,2239.0,8.3,1574.84,114.3,53.7,0.1155
S45C,carbide,dry,6,6,234.8,0.052,5.1,2.32,12459.0,3851.0,45.59,1164.7,5.4,1.9,0.1181
SUS304,cbn,water_soluble,8,3,104.7,0.18,2.9,4.89,4165.0,2253.0,31.99,3056.65,35.0,38.6,0.394
S45C,hss,water_soluble,25,4,99.5,0.051,5.27,9.43,1267.0,258.0,12.83,3222.54,24.7,10.0,0.1168
FC250,carbide,mql,12,2,169.3,0.28,4.53,4.97,4490.0,2513.0,56.57,2406.05,5.8,3.9,0.1725
SUS304,cbn,water_soluble,6,4,79.9,0.103,1.77,3.98,4240.0,1751.0,12.32,1156.37,241.0,285.1,0.5872
FC250,cermet,dry,8,6,181.4,0.149,0.99,1.49,7218.0,6443.0,9.47,250.53,8.7,4.4,0.1455
S45C,hss,mql,12,4,99.2,0.199,5.1,0.9,2631.0,2095.0,9.6,1162.08,13.0,8.8,0.1746
SUS304,hss,dry,20,3,97.5,0.183,2.77,6.02,1552.0,850.0,14.17,3632.1,5.2,3.7,0.1842
SUS304,hss,water_soluble,8,6,85.8,0.087,2.12,1.31,3414.0,1776.0,4.94,576.33,28.4,32.1,0.4519
SUS304,cermet,dry,16,6,91.8,0.083,4.7,7.52,1827.0,905.0,32.01,6970.9,26.9,4.4,0.066
SKD11,cbn,dry,10,2,72.6,0.131,1.15,3.07,2311.0,606.0,2.14,442.83,76.0,77.4,0.2876
A5052,hss,water_soluble,6,3,397.3,0.291,9.71,6.13,21078.0,18395.0,1094.58,6611.95,4.5,2.4,0.1504
SUS304,cermet,water_soluble,12,4,93.5,0.192,3.68,10.31,2481.0,1906.0,72.29,11591.72,31.8,3.0,0.0448
S45C,cbn,oil,8,3,218.0,0.171,1.04,0.96,8673.0,4438.0,4.45,163.27,7.9,8.7,0.4102
A5052,hss,dry,25,2,416.8,0.316,3.28,6.74,5307.0,3357.0,74.25,1781.64,5.1,3.5,0.1851
A5052,cermet,water_soluble,8,6,404.8,0.416,4.23,9.95,16107.0,40194.0,1692.78,13381.5,5.0,5.3,0.3842
SKD11,cermet,oil,8,3,36.3,0.136,1.29,1.47,1443.0,589.0,1.11,367.79,533.6,258.9,0.1283
SUS304,cbn,oil,8,6,51.2,0.124,3.78,5.76,2037.0,1515.0,33.0,6445.28,547.2,155.9,0.0916
S45C,cbn,oil,10,3,92.7,0.077,8.46,6.46,2952.0,678.0,37.05,3994.98,162.2,149.8,0.2124
SUS304,carbide,mql,25,6,129.2,0.098,2.3,2.95,1645.0,971.0,6.58,1590.43,8.5,9.7,0.4338
S45C,carbide,oil,20,6,184.8,0.265,3.79,7.6,2942.0,4681.0,134.87,14593.24,5.1,5.5,0.3603
FC250,carbide,mql,6,6,184.2,0.191,5.41,4.98,9774.0,11210.0,301.6,5893.57,5.3,4.7,0.2106
SUS304,cbn,mql,8,2,78.2,0.084,4.65,1.26,3111.0,523.0,3.05,390.21,193.5,39.1,0.06
A5052,carbide,mql,10,6,448.2,0.302,7.96,2.83,14267.0,25822.0,581.82,5192.29,5.5,3.1,0.1597
SUS304,cbn,water_soluble,20,6,89.4,0.175,1.93,0.69,1423.0,1491.0,1.97,550.64,113.9,22.8,0.0694
A5052,hss,dry,25,4,368.2,0.109,4.99,3.42,4688.0,2046.0,34.92,948.25,5.3,4.6,0.2088
FC250,carbide,oil,16,2,136.9,0.106,6.36,1.25,2724.0,580.0,4.6,322.92,21.9,4.7,0.083
SKD11,cbn,mql,16,3,48.3,0.12,1.39,2.58,961.0,346.0,1.24,616.33,453.4,134.3,0.0999
S45C,cermet,water_soluble,16,3,171.5,0.278,4.19,10.5,3412.0,2849.0,125.24,11682.92,6.1,5.7,0.2896
SUS304,hss,mql,16,6,143.8,0.077,1.86,4.06,2861.0,1319.0,9.98,1387.2,5.5,1.2,0.0664
SKD11,carbide,mql,12,2,51.8,0.046,2.87,7.96,1374.0,128.0,2.92,1013.97,425.7,72.5,0.0639
S45C,carbide,water_soluble,6,3,110.7,0.287,2.58,2.86,5873.0,5056.0,37.28,2020.55,33.4,24.8,0.193
FC250,hss,dry,8,2,87.0,0.125,5.01,2.94,3462.0,865.0,12.73,702.43,17.9,2.2,0.0513
SUS304,hss,mql,10,2,51.7,0.088,4.04,1.4,1645.0,288.0,1.63,394.41,235.8,73.3,0.107
A5052,cbn,oil,16,4,449.9,0.26,5.72,9.43,8950.0,9312.0,501.69,7136.89,4.9,5.6,0.4398
FC250,cbn,oil,12,4,162.7,0.266,9.97,13.05,4316.0,4590.0,597.37,26436.57,9.9,9.0,0.2584
SUS304,cbn,oil,25,2,105.8,0.039,4.87,7.73,1347.0,106.0,3.98,1176.17,57.6,59.5,0.3116
SUS304,hss,oil,6,6,101.3,0.152,4.87,3.34,5375.0,4890.0,79.71,5900.56,5.4,3.1,0.1699
SUS304,cermet,oil,10,6,82.9,0.039,2.42,2.22,2640.0,616.0,3.3,498.2,168.2,105.8,0.1505
S45C,cbn,oil,6,3,111.3,0.06,0.71,1.76,5906.0,1060.0,1.32,71.03,204.7,149.2,0.1891
A5052,cermet,oil,6,6,153.7,0.393,13.45,13.27,8153.0,19217.0,3430.37,53571.76,35.6,17.2,0.1513
S45C,cbn,oil,12,6,162.9,0.286,1.04,2.95,4320.0,7422.0,22.85,1683.68,17.8,19.1,0.3527
SKD11,hss,mql,10,3,55.4,0.056,1.33,4.0,1764.0,298.0,1.59,429.8,110.3,11.9,0.0419
SKD11,hss,water_soluble,25,6,53.3,0.061,0.44,0.75,679.0,249.0,0.08,58.4,257.4,101.1,0.1165
S45C,carbide,water_soluble,8,4,217.8,0.287,1.37,1.08,8667.0,9952.0,14.72,540.73,5.0,1.1,0.0664
FC250,cbn,water_soluble,25,6,105.6,0.267,9.58,7.19,1344.0,2152.0,148.13,21045.38,54.4,4.6,0.0337
FC250,cermet,dry,8,2,87.1,0.118,1.49,1.67,3465.0,817.0,2.03,111.68,116.2,19.5,0.0673
A5052,cbn,mql,12,2,284.6,0.206,6.76,15.97,7549.0,3112.0,335.95,5666.52,15.8,15.3,0.2608
FC250,carbide,water_soluble,20,4,106.9,0.176,2.98,0.58,1702.0,1199.0,2.06,231.06,58.3,31.7,0.1707
A5052,cermet,oil,25,3,379.0,0.443,4.04,5.73,4826.0,6408.0,148.36,3914.37,5.2,3.0,0.1417
A5052,cbn,water_soluble,16,3,453.5,0.16,14.52,28.77,9022.0,4325.0,1806.07,25489.66,4.8,5.3,0.4644
S45C,cermet,dry,16,3,107.3,0.093,3.03,1.53,2135.0,597.0,2.77,412.98,40.2,39.8,0.2601
S45C,cbn,dry,25,3,241.2,0.228,0.56,1.41,3072.0,2099.0,1.67,173.38,5.3,3.8,0.1986
S45C,cermet,mql,25,3,195.8,0.229,6.27,2.12,2493.0,1713.0,22.78,2908.94,4.6,3.7,0.2251
SUS304,cermet,mql,20,3,53.0,0.173,2.46,2.0,844.0,439.0,2.16,1019.75,545.3,22.7,0.0171
S45C,cbn,water_soluble,20,4,172.6,0.081,3.25,2.71,2747.0,895.0,7.89,913.69,20.0,17.2,0.1995
A5052,carbide,dry,16,6,453.2,0.442,6.57,9.03,9016.0,23921.0,1418.56,20033.48,5.2,2.9,0.1413
S45C,cermet,water_soluble,6,4,225.9,0.261,3.92,8.23,11985.0,12523.0,403.78,10723.95,5.1,6.1,0.6038
SUS304,cermet,dry,10,6,119.3,0.16,1.73,4.3,3799.0,3653.0,27.19,2848.0,7.8,7.1,0.2496
SKD11,carbide,water_soluble,20,6,89.6,0.099,2.76,1.72,1426.0,849.0,4.03,1349.09,19.4,1.0,0.0225
SUS304,cbn,oil,25,4,138.9,0.127,3.27,5.33,1769.0,897.0,15.62,3514.63,9.5,4.1,0.1385
FC250,carbide,oil,10,3,111.0,0.166,1.77,4.95,3532.0,1759.0,15.38,831.82,51.8,7.5,0.0601
SUS304,cermet,oil,6,6,112.8,0.105,0.48,0.97,5986.0,3756.0,1.76,117.09,34.2,33.3,0.2573
SUS304,hss,oil,8,4,58.1,0.104,1.68,2.97,2314.0,962.0,4.79,822.97,165.4,158.0,0.2375
A5052,hss,dry,12,2,333.5,0.35,4.37,11.99,8846.0,6194.0,324.9,4676.65,4.6,4.4,0.2693
SUS304,carbide,mql,16,4,72.0,0.106,4.53,2.25,1432.0,605.0,6.15,1709.96,133.8,155.7,0.5005
A5052,carbide,dry,10,6,246.3,0.338,5.44,16.29,7839.0,15880.0,1408.66,22878.64,6.0,6.8,0.388
SUS304,cbn,mql,12,4,72.3,0.099,1.93,0.61,1918.0,762.0,0.91,188.05,361.9,263.9,0.1942
A5052,cbn,dry,10,3,493.9,0.46,6.87,1.3,15720.0,21709.0,194.26,1573.4,5.3,4.8,0.2287
SKD11,carbide,oil,12,3,71.7,0.122,2.85,2.72,1903.0,696.0,5.39,1352.87,57.2,23.9,0.1347
A5052,hss,water_soluble,12,3,274.3,0.357,10.1,21.6,7277.0,7797.0,1701.52,29769.76,4.8,1.6,0.1043
S45C,cermet,water_soluble,10,2,103.7,0.229,9.74,28.74,3302.0,1512.0,423.31,40801.58,35.8,32.0,0.2289
A5052,hss,oil,20,2,478.2,0.208,6.97,14.21,7610.0,3172.0,314.02,5253.54,4.8,4.0,0.1824
FC250,cermet,oil,20,3,152.7,0.208,5.51,9.83,2430.0,1516.0,82.1,6452.25,12.0,10.7,0.2562
SKD11,hss,water_soluble,12,6,35.1,0.096,2.55,0.63,932.0,539.0,0.86,440.9,507.3,246.0,0.1287
S45C,carbide,mql,12,6,249.1,0.292,4.69,4.03,6608.0,11563.0,218.48,10524.34,5.2,4.6,0.2527
SUS304,cermet,water_soluble,6,4,62.6,0.052,3.48,9.03,3322.0,692.0,21.73,2602.98,504.0,56.0,0.042
A5052,hss,water_soluble,8,6,262.8,0.4,1.53,3.19,10457.0,25072.0,122.24,1488.38,5.2,3.6,0.21
FC250,carbide,water_soluble,25,4,117.7,0.289,0.82,1.63,1499.0,1735.0,2.32,295.08,47.3,10.8,0.0693
FC250,carbide,oil,12,6,138.0,0.054,9.25,27.1,3661.0,1179.0,295.54,15416.42,20.2,18.5,0.2228
S45C,hss,mql,16,3,221.6,0.173,9.16,25.54,4408.0,2292.0,536.28,38728.21,4.5,5.3,0.6083
SUS304,cbn,mql,16,6,75.2,0.186,1.55,4.21,1497.0,1667.0,10.88,2891.85,206.0,224.3,0.3582
FC250,cermet,oil,10,6,162.1,0.098,5.45,7.93,5159.0,3020.0,130.51,4831.52,14.6,6.6,0.1299
SUS304,cbn,water_soluble,16,2,60.7,0.102,2.43,5.47,1208.0,246.0,3.27,1077.67,504.5,26.9,0.0221
SUS304,hss,dry,25,4,115.6,0.121,3.48,7.29,1472.0,714.0,18.14,4903.2,4.8,1.2,0.0789
FC250,cbn,mql,20,3,179.9,0.298,2.05,4.42,2863.0,2559.0,23.22,1549.04,12.8,15.2,0.5718
A5052,cermet,oil,12,2,187.5,0.401,13.7,11.79,4973.0,3991.0,644.75,16509.09,19.8,11.0,0.1433
S45C,hss,oil,6,2,156.4,0.285,9.55,7.24,8296.0,4731.0,327.1,12550.45,5.0,5.4,0.355
SKD11,carbide,oil,16,6,94.9,0.053,2.21,0.67,1888.0,605.0,0.9,228.01,20.0,4.4,0.0799
A5052,hss,mql,8,3,291.8,0.318,2.06,0.6,11611.0,11085.0,13.6,149.08,4.8,4.9,0.3683
SKD11,cermet,mql,12,2,89.7,0.146,2.76,4.42,2378.0,692.0,8.45,1697.26,13.8,16.2,0.5989
S45C,hss,mql,20,2,97.0,0.118,8.25,9.68,1544.0,364.0,29.08,5994.22,14.1,16.6,0.5539
S45C,cbn,water_soluble,20,2,234.0,0.084,1.02,0.55,3725.0,629.0,0.35,29.89,9.4,8.5,0.2535
SUS304,carbide,oil,25,2,98.3,0.041,3.17,9.37,1252.0,102.0,3.03,963.75,48.2,29.4,0.1469
A5052,carbide,mql,8,2,316.1,0.417,6.76,16.26,12577.0,10495.0,1154.71,11690.09,5.4,3.2,0.1686
SUS304,hss,oil,10,3,64.4,0.046,0.38,1.05,2051.0,282.0,0.11,21.87,225.4,199.3,0.2138
SUS304,carbide,mql,25,6,146.0,0.175,4.36,5.62,1859.0,1949.0,47.73,10217.54,4.6,1.0,0.0635
SUS304,cbn,oil,6,4,102.5,0.064,3.83,8.7,5439.0,1391.0,46.3,3387.64,60.8,20.4,0.1149
SUS304,cermet,dry,16,3,85.2,0.105,0.63,1.3,1694.0,533.0,0.43,101.51,81.6,3.8,0.0214
S45C,cbn,oil,8,6,114.7,0.207,3.91,11.68,4565.0,5661.0,258.31,18012.38,50.3,34.6,0.2065
SUS304,hss,oil,25,3,121.9,0.13,2.61,1.91,1552.0,604.0,3.02,773.6,4.7,5.3,0.4129
SUS304,cbn,dry,8,2,113.2,0.122,0.91,1.34,4502.0,1101.0,1.34,118.07,26.6,14.8,0.1655
A5052,carbide,mql,10,3,313.9,0.434,14.04,28.01,9992.0,13007.0,5114.22,65168.98,4.9,1.1,0.0845
S45C,cbn,mql,6,3,153.1,0.127,9.64,27.91,8121.0,3085.0,830.1,32537.35,13.4,15.6,0.4403
SKD11,hss,dry,10,3,37.1,0.063,0.9,2.66,1180.0,223.0,0.53,214.9,523.3,205.7,0.1042
A5052,cermet,oil,6,6,164.5,0.143,13.91,11.3,8729.0,7493.0,1178.09,17183.13,50.8,19.0,0.1018
SUS304,hss,mql,6,6,132.5,0.055,1.05,2.59,7032.0,2317.0,6.32,357.38,4.5,3.8,0.1999
S45C,hss,mql,25,6,102.8,0.079,8.52,3.99,1309.0,620.0,21.08,5126.11,13.7,2.2,0.0631
A5052,cermet,oil,20,4,477.8,0.421,11.97,6.43,7604.0,12820.0,986.57,16519.54,5.4,2.6,0.1528
A5052,cbn,water_soluble,10,6,282.0,0.484,4.47,5.66,8975.0,26075.0,658.6,9343.41,15.5,9.8,0.1587
S45C,cbn,mql,16,2,88.4,0.2,3.75,10.74,1759.0,703.0,28.27,5116.58,141.7,139.3,0.2997
S45C,hss,water_soluble,10,2,210.1,0.171,1.92,3.91,6687.0,2291.0,17.18,818.03,5.4,4.3,0.1885
A5052,cbn,dry,20,4,416.9,0.313,4.36,0.89,6635.0,8313.0,32.42,622.06,5.1,5.8,0.4206
S45C,cermet,dry,16,3,173.0,0.187,1.35,1.98,3441.0,1926.0,5.16,477.13,6.1,1.6,0.0738
FC250,carbide,dry,8,4,166.4,0.075,6.42,7.18,6621.0,1994.0,91.91,2651.13,6.3,5.2,0.1946
S45C,hss,dry,25,6,216.4,0.146,4.47,1.07,2755.0,2418.0,11.61,1341.9,5.0,1.6,0.0952
SKD11,hss,mql,6,3,75.6,0.126,2.82,4.59,4008.0,1514.0,19.6,2335.09,10.3,5.5,0.1621
SKD11,hss,mql,16,3,60.5,0.027,1.75,3.3,1203.0,98.0,0.57,224.97,91.5,26.9,0.0988
SKD11,hss,dry,8,2,80.2,0.147,2.36,1.2,3190.0,939.0,2.67,399.12,5.0,2.5,0.1213
A5052,hss,dry,12,6,343.1,0.21,6.99,20.25,9101.0,11492.0,1625.87,22746.18,4.8,2.1,0.1262
FC250,carbide,oil,25,2,89.2,0.216,2.76,4.3,1136.0,491.0,5.82,978.53,88.0,99.9,0.5204
SKD11,hss,water_soluble,10,4,47.8,0.134,1.19,2.71,1523.0,814.0,2.62,821.98,193.0,62.7,0.0986
FC250,cermet,oil,12,3,103.5,0.286,9.78,11.35,2746.0,2355.0,261.32,18175.73,30.1,33.1,0.4123
A5052,cermet,dry,10,4,242.8,0.352,1.25,0.87,7727.0,10894.0,11.9,196.06,16.3,15.9,0.3028
FC250,hss,mql,16,3,93.8,0.197,6.84,4.52,1866.0,1103.0,34.06,3485.16,14.4,6.1,0.1257
FC250,cermet,oil,8,4,192.0,0.209,8.12,11.62,7639.0,6397.0,603.57,15090.54,5.2,1.6,0.1018
SUS304,hss,oil,10,2,90.4,0.199,1.12,2.43,2876.0,1144.0,3.12,431.14,15.2,9.7,0.1813
S45C,carbide,oil,12,6,203.0,0.084,8.44,4.34,5384.0,2714.0,99.51,5883.47,4.7,2.7,0.1463
S45C,carbide,mql,6,6,176.3,0.212,3.37,4.93,9353.0,11919.0,198.2,6745.15,4.9,1.8,0.1196
A5052,cermet,dry,25,3,350.1,0.199,10.98,15.48,4457.0,2664.0,453.01,12939.83,5.5,1.1,0.0761
A5052,cermet,oil,25,4,239.9,0.092,1.96,1.57,3054.0,1120.0,3.46,144.14,45.5,9.4,0.0645
FC250,cermet,water_soluble,10,3,194.6,0.203,0.51,1.43,6195.0,3767.0,2.75,84.83,11.9,11.2,0.2868
A5052,hss,oil,12,4,290.8,0.073,7.7,3.29,7713.0,2254.0,57.04,941.52,5.4,1.6,0.0837
SUS304,carbide,water_soluble,12,4,129.8,0.15,1.19,1.63,3444.0,2070.0,4.03,465.96,10.2,2.4,0.0872
SUS304,cermet,dry,25,3,100.3,0.114,0.32,0.73,1277.0,436.0,0.1,31.54,45.3,9.5,0.0677
A5052,cbn,mql,6,6,383.0,0.147,3.71,8.24,20321.0,17921.0,547.3,3429.2,9.9,2.8,0.0807
S45C,cermet,oil,8,4,94.6,0.166,2.15,2.51,3766.0,2500.0,13.51,1142.11,97.1,5.3,0.0276
A5052,cbn,oil,6,3,225.4,0.104,12.85,5.12,11958.0,3739.0,245.94,2618.53,45.5,27.8,0.1896
A5052,cbn,dry,16,2,464.8,0.473,10.23,20.1,9247.0,8755.0,1799.93,24782.37,5.3,6.2,0.545
FC250,carbide,mql,6,4,181.9,0.185,8.14,12.67,9652.0,7154.0,737.38,14590.66,4.9,3.2,0.1553
S45C,hss,dry,25,4,244.3,0.163,1.86,2.47,3111.0,2029.0,9.32,953.59,4.8,5.2,0.4156
FC250,hss,mql,25,4,164.3,0.143,0.67,1.56,2091.0,1196.0,1.25,113.7,5.4,1.9,0.1059
SKD11,cbn,dry,25,3,63.1,0.088,2.46,2.99,803.0,213.0,1.57,934.09,158.2,51.9,0.0921
FC250,carbide,water_soluble,10,2,147.4,0.129,1.3,2.83,4693.0,1207.0,4.45,181.13,24.8,3.2,0.0508
SUS304,carbide,water_soluble,6,4,81.5,0.146,4.4,3.51,4326.0,2527.0,39.03,3589.72,64.6,21.4,0.0974
S45C,cermet,oil,25,3,158.3,0.122,2.85,5.7,2016.0,735.0,11.94,1885.13,13.5,7.4,0.1305
SKD11,cbn,dry,10,4,83.7,0.112,0.22,0.58,2663.0,1196.0,0.15,27.62,67.0,36.5,0.1474
S45C,carbide,oil,6,3,240.7,0.218,1.12,1.83,12767.0,8365.0,17.07,425.48,5.0,3.3,0.1804
A5052,cbn,mql,25,6,326.2,0.077,13.78,18.66,4154.0,1920.0,493.68,15132.98,14.2,11.9,0.2145
SKD11,carbide,mql,10,2,115.3,0.027,0.5,0.67,3670.0,198.0,0.07,8.62,13.8,14.8,0.4111
A5052,hss,water_soluble,12,4,243.1,0.425,6.69,13.19,6449.0,10962.0,967.31,19096.57,5.1,1.7,0.0989
A5052,cermet,dry,16,3,304.2,0.436,10.42,26.53,6052.0,7909.0,2186.87,46007.4,5.4,1.3,0.0889
SKD11,carbide,water_soluble,25,2,97.3,0.047,0.77,0.85,1239.0,117.0,0.08,29.45,25.6,27.4,0.4017
SUS304,cbn,dry,20,2,76.9,0.181,0.95,1.29,1225.0,443.0,0.54,174.93,135.2,153.8,0.5036
SUS304,cermet,oil,20,4,123.5,0.073,2.61,1.05,1965.0,573.0,1.57,318.31,17.0,8.4,0.1558
SKD11,cermet,oil,25,2,54.2,0.023,2.22,0.7,690.0,31.0,0.05,33.82,503.9,290.7,0.1567
A5052,hss,dry,20,6,444.4,0.499,6.74,6.82,7073.0,21158.0,972.01,17498.59,4.7,3.8,0.205
FC250,hss,water_soluble,12,6,111.8,0.222,9.51,8.02,2966.0,3943.0,300.67,19358.85,7.2,5.1,0.1645
A5052,carbide,dry,6,3,404.2,0.149,7.01,16.86,21444.0,9576.0,1131.75,6719.85,5.1,4.9,0.2718
FC250,carbide,dry,20,6,151.1,0.171,6.41,0.69,2405.0,2462.0,10.87,863.25,7.3,8.4,0.4647
S45C,carbide,dry,16,2,91.2,0.226,2.76,3.53,1814.0,822.0,8.01,1405.31,46.7,23.6,0.1258
